"data_ref","ano_mes","expectativa_mensal"
"2023","2023-05",5.91128636363636
"2024","2023-05",4.14269090909091
"2025","2023-05",4
"2026","2023-05",4
"2027","2023-05",4
"2023","2023-06",5.27258571428571
"2024","2023-06",4.02309047619048
"2025","2023-06",3.85619047619048
"2026","2023-06",3.82647619047619
"2027","2023-06",3.77261904761905
"2023","2023-07",4.93160952380952
"2024","2023-07",3.9081619047619
"2025","2023-07",3.53690476190476
"2026","2023-07",3.5
"2027","2023-07",3.5
"2023","2023-08",4.87352173913043
"2024","2023-08",3.87241739130435
"2025","2023-08",3.5
"2026","2023-08",3.5
"2027","2023-08",3.5
"2023","2023-09",4.886545
"2024","2023-09",3.8659
"2025","2023-09",3.5
"2026","2023-09",3.5
"2027","2023-09",3.5
"2023","2023-10",4.74046666666667
"2024","2023-10",3.88270476190476
"2025","2023-10",3.5
"2026","2023-10",3.5
"2027","2023-10",3.5
"2023","2023-11",4.57554
"2024","2023-11",3.91343
"2025","2023-11",3.5
"2026","2023-11",3.5
"2027","2023-11",3.5
"2023","2023-12",4.493505
"2024","2023-12",3.917825
"2025","2023-12",3.5
"2026","2023-12",3.5
"2027","2023-12",3.5
"2023","2024-01",4.46751428571429
"2024","2024-01",3.86965
"2025","2024-01",3.50000909090909
"2026","2024-01",3.5
"2027","2024-01",3.5
"2028","2024-01",3.50933333333333
"2024","2024-02",3.81029473684211
"2025","2024-02",3.51236842105263
"2026","2024-02",3.5
"2027","2024-02",3.5
"2028","2024-02",3.5
"2024","2024-03",3.769085
"2025","2024-03",3.5093
"2026","2024-03",3.5
"2027","2024-03",3.5
"2028","2024-03",3.495
"2024","2024-04",3.72988181818182
"2025","2024-04",3.56583636363636
"2026","2024-04",3.5
"2027","2024-04",3.5
"2028","2024-04",3.46840909090909
"2024","2024-05",3.79075714285714
"2025","2024-05",3.69935714285714
"2026","2024-05",3.52449523809524
"2027","2024-05",3.5
"2028","2024-05",3.5
"2024","2024-06",3.94773
"2025","2024-06",3.81119
"2026","2024-06",3.602
"2027","2024-06",3.5
"2028","2024-06",3.5
"2024","2024-07",4.03675217391304
"2025","2024-07",3.90493043478261
"2026","2024-07",3.6
"2027","2024-07",3.5
"2028","2024-07",3.5
"2024","2024-08",4.19837727272727
"2025","2024-08",3.94153181818182
"2026","2024-08",3.6
"2027","2024-08",3.5
"2028","2024-08",3.5
"2024","2024-09",4.33232857142857
"2025","2024-09",3.94820476190476
"2026","2024-09",3.61919047619048
"2027","2024-09",3.5
"2028","2024-09",3.5
"2024","2024-10",4.44584782608696
"2025","2024-10",3.98183043478261
"2026","2024-10",3.60065217391304
"2027","2024-10",3.5
"2028","2024-10",3.5
"2024","2024-11",4.62962631578947
"2025","2024-11",4.17501052631579
"2026","2024-11",3.70106315789474
"2027","2024-11",3.50131578947368
"2028","2024-11",3.5
"2024","2024-12",4.86199047619048
"2025","2024-12",4.69729523809524
"2026","2024-12",3.97998571428571
"2027","2024-12",3.67718095238095
"2028","2024-12",3.50001428571429
"2024","2025-01",4.8938
"2025","2025-01",5.16925454545455
"2026","2025-01",4.10681818181818
"2027","2025-01",3.88386363636364
"2028","2025-01",3.5771
"2029","2025-01",3.70846875
"2025","2025-02",5.598335
"2026","2025-02",4.34525
"2027","2025-02",3.9675
"2028","2025-02",3.7745
"2029","2025-02",3.68638
"2025","2025-03",5.65441578947368
"2026","2025-03",4.45887368421053
"2027","2025-03",4
"2028","2025-03",3.76973684210526
"2029","2025-03",3.55825789473684
"2025","2025-04",5.60877
"2026","2025-04",4.50201
"2027","2025-04",4
"2028","2025-04",3.7895
"2029","2025-04",3.62625
"2025","2025-05",5.50472857142857
"2026","2025-05",4.50238571428571
"2027","2025-05",4
"2028","2025-05",3.80333333333333
"2029","2025-05",3.72702380952381
"2025","2025-06",5.311395
"2026","2025-06",4.5
"2027","2025-06",4
"2028","2025-06",3.8375
"2029","2025-06",3.768375
"2025","2025-07",5.14083043478261
"2026","2025-07",4.47141304347826
"2027","2025-07",4
"2028","2025-07",3.80347826086957
"2029","2025-07",3.66576086956522
"2025","2025-08",4.96026666666667
"2026","2025-08",4.38717142857143
"2027","2025-08",3.98373333333333
"2028","2025-08",3.77619047619048
"2029","2025-08",3.53938571428571
"2025","2025-09",4.83295909090909
"2026","2025-09",4.29432727272727
"2027","2025-09",3.90909090909091
"2028","2025-09",3.7
"2029","2025-09",3.5
"2025","2025-10",4.72826111111111
"2026","2025-10",4.26880555555556
"2027","2025-10",3.86164444444444
"2028","2025-10",3.62888888888889
"2029","2025-10",3.5
